Speaker name,Category/topic tags,State,Notes
Bernadette Black AM,"Education; Health, Lifestyle & Wellbeing; Inspirational; Motivational; Social Trends & Current Affairs",TAS (Hobart),Gender: Female
Bernadette Robinson,,VIC,Gender: Female
Bernadette Schwerdt,"Advertising & Marketing; Business; Health, Lifestyle & Wellbeing; Leadership; People & Culture; Virtual",VIC (Melbourne),Gender: Female
Bernard Salt AM,"Business; Diversity & Inclusion; Economy & Finance; Intergenerational Influencers; Social Trends & Current Affairs; Technology, Future & Innovation; Virtual",VIC (Melbourne),Gender: Male
Bernie Brookes AM,Business,NSW (Sydney),Gender: Male
Bethenny Frankel,Business; Leadership; Motivational; People & Culture,International (USA),Gender: Female
Bev Killick,,VIC (Melbourne),Gender: Female
Beverley O'Connor,"Health, Lifestyle & Wellbeing; Master of Ceremonies (MCs) & Hosts",VIC (Melbourne),Gender: Female
Bianca Chatfield,Business; Celebrity; Media; Sport,VIC (Melbourne),Gender: Female
Bianca Dye,Master of Ceremonies (MCs) & Hosts; Media,NSW,Gender: Female
Bianca Hunt,Indigenous Speakers; Intergenerational Influencers; Master of Ceremonies (MCs) & Hosts; Media; Storytelling,NSW (Sydney),Gender: Female
Bill Benjamin,Business; Leadership,International (USA),Gender: Male
Bill James,Business; Social Media & Networking,New Zealand (Auckland),Gender: Male
Bill Nelson,Business; Inspirational; Leadership; Motivational; People & Culture; Sport; Team Building,NSW,Gender: Male
Bill Nikolouzakis,Business; Leadership; People & Culture; Resilience,VIC (Melbourne),Gender: Male
Bill Zammit,"Business; Health, Lifestyle & Wellbeing; Inspirational; Motivational",QLD (Cairns),Gender: Male
Billy Brownless,Celebrity; Master of Ceremonies (MCs) & Hosts; Media; Sport; Storytelling,VIC (Melbourne),Gender: Male
Blake Beattie,Business; Leadership; Master of Ceremonies (MCs) & Hosts; Motivational; Resilience,QLD (Brisbane),Gender: Male
Blake Masters,Business,International (USA),Gender: Male
Blue Tongue Harmonica,"Health, Lifestyle & Wellbeing; Team Building",NSW (Sydney),Gender: Male
Bob Hunter,Business; People & Culture; Team Building,WA (Perth),Gender: Male
Bob Mansfield,Business; Leadership,NSW,Gender: Male
Bob Schwartz,"Business; Leadership; Technology, Future & Innovation",International (USA),Gender: Male
Bonnie Anderson,Celebrity,VIC (Melbourne),Gender: Female
Boris Becker,Sport,International (UK),Gender: Male
Brad McEwan,"Health, Lifestyle & Wellbeing; Master of Ceremonies (MCs) & Hosts; Media; Mental Health & Wellness; Motivational; Storytelling",VIC (Melbourne),Gender: Male
Brad Ness OAM,"Diversity & Inclusion; Health, Lifestyle & Wellbeing; Inspirational; Leadership; Mental Health & Wellness",WA,Gender: Male
Brad Scott,Business; Creativity & Innovation; Environment & Climate Change; Leadership; Sustainability,VIC (Melbourne),Gender: Male
Brad Smeele,Diversity & Inclusion; Inspirational; Motivational; Resilience; Sport,New Zealand (Auckland),Gender: Male
Brad Twynham,"Business; Creativity & Innovation; Indigenous Speakers; Technology, Future & Innovation",NSW (Sydney),Gender: Male
Bradley Dryburgh,"Health, Lifestyle & Wellbeing; Inspirational; Motivational; Resilience; Storytelling",NSW (Sydney),Gender: Male
Bradley Hall,Indigenous Speakers,WA (Perth),Gender: Male
Bram Connolly DSM,Business; Leadership; Master of Ceremonies (MCs) & Hosts; Military; Team Building; Virtual,WA (Perth),Gender: Male
Brandon Green,Business; Creativity & Innovation; Leadership; Motivational; Team Building,International (USA),Gender: Male
Brant 'Bugsy' North,"Business; Health, Lifestyle & Wellbeing; Inspirational; Leadership; Motivational; Resilience; Sport",QLD (Brisbane),Gender: Male
Brant Garvey,"Diversity & Inclusion; Health, Lifestyle & Wellbeing; Inspirational; Resilience; Sport",WA (Perth),Gender: Male
Bree Laughlin,Celebrity; Master of Ceremonies (MCs) & Hosts,VIC (Melbourne),Gender: Female
Brenda Bence,Advertising & Marketing; Business; Leadership,International (Asia; Singapore),Gender: Female
Brendan Moar,Master of Ceremonies (MCs) & Hosts,NSW,Gender: Male
Brendon Gale,Business; Economy & Finance; Leadership; Motivational; Sport; Team Building,TAS (Hobart),Gender: Male
Brendon Julian,Media; Sport,NSW (Sydney),Gender: Male
Brennon Dowrick,Inspirational; Master of Ceremonies (MCs) & Hosts; Motivational; Sport,NSW (Sydney),Gender: Male
Brent Reilly,"Education; Health, Lifestyle & Wellbeing; Inspirational; Mental Health & Wellness; Sport",SA (Adelaide),Gender: Male
Brent Smart,Advertising & Marketing; Business; Leadership,NSW (Sydney),Gender: Male
Brenton Ragless,Celebrity; Environment & Climate Change; Master of Ceremonies (MCs) & Hosts,SA,Gender: Male
Brett Bower,After Dinner Speakers; Creativity & Innovation,NSW (Sydney),Gender: Male
Brett Connellan,Education; Inspirational; Mental Health & Wellness; Motivational; Resilience; Storytelling,NSW (Kiama; Sydney),Gender: Male
Brett de Hoedt,Advertising & Marketing; Business; Leadership; Master of Ceremonies (MCs) & Hosts,VIC (Melbourne),Gender: Male
Brett King,"Business; Economy & Finance; Technology, Future & Innovation",International (USA),Gender: Male
Brett Maher,Business; Inspirational; Master of Ceremonies (MCs) & Hosts; Motivational; People & Culture; Sport,SA (Adelaide),Gender: Male
Brett Murray OAM,"Business; Education; Health, Lifestyle & Wellbeing; Inspirational; Leadership",NSW,Gender: Male
Brett Rutledge,AI; Business; Leadership; Master of Ceremonies (MCs) & Hosts; Storytelling,VIC (Melbourne),Gender: Male
